Geography	Sector	Description	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	(blank)
Canada	Advertising and marketing	"Advertising, public relations, and related services"	71325	73392	75267	77225	78650	79625	80450	80533	79317	79008	
Canada	Advertising and marketing	"Management, scientific and technical consulting services"	143033	144383	146075	146958	147367	147233	147108	146467	147208	147900	
Canada	Architecture	"Architectural, engineering and related services"	256858	256633	257850	258975	260858	262708	264442	265475	267650	268058	
Canada	Crafts	Other furniture-related product manufacturing	5683	5758	5550	5642	5608	5575	5508	5417	5233	5308	
Canada	Crafts	Other miscellaneous manufacturing	56900	56042	55067	54908	55292	55750	56475	57458	58842	59933	
Canada	Crafts	Other non-metallic mineral product manufacturing	8842	9250	9717	10175	10692	11025	11233	11008	10958	10983	
Canada	Design	Specialized design services	56050	55783	55042	54617	54658	54808	54942	54217	53433	53092	
Canada	"Film, TV, video, radio and photography"	Pay and specialty television	1600	1600	1600	1600	1600	1600	1900	2250	2133	2200	
Canada	"Film, TV, video, radio and photography"	Radio and television broadcasting	43950	44250	44000	43042	42258	41125	40308	39517	38942	38500	
Canada	"Film, TV, video, radio and photography"	Sound recording industries	3908	3850	4125	3942	3900	3983	4133	3933	3792	3717	
Canada	"IT, software and computer services"	Computer systems design and related services	273950	275858	275950	274400	273433	272150	270275	271125	271350	272933	
Canada	"IT, software and computer services"	Software publishers	13250	13400	13375	13225	13150	13058	12967	12908	13025	12925	
Canada	Music	Other schools and instruction	98017	96792	95275	93200	93433	93033	92725	92858	94125	94158	
Canada	Music	Performing arts companies	34100	35133	36008	36533	37175	37517	38217	37783	37033	36692	
Canada	Music	"Promoters (presenters) of performing arts, sports and similar events"	13967	13767	13233	12767	12450	12283	11975	11925	11825	11350	
Canada	Not Creative	Aboriginal public administration	4867	5042	5050	5092	5142	5108	5200	5375	5592	5883	
Canada	Not Creative	"Accounting, tax preparation, bookkeeping and payroll services"	148508	150758	153150	154017	156158	157600	158267	158550	159083	159950	
Canada	Not Creative	Activities related to credit intermediation	26075	25792	25575	25775	25708	25825	26092	25525	25708	25183	
Canada	Not Creative	Activities related to real estate	53250	53083	52350	52792	53242	54017	55192	56883	58883	59817	
Canada	Not Creative	Aerospace product and parts manufacturing	59758	60533	60875	61467	62367	62825	64208	64567	64008	63425	
Canada	Not Creative	"Agencies, brokerages and other insurance related activities"	80383	79458	79375	79975	79292	79292	79925	80958	82167	83475	
Canada	Not Creative	"Agents and managers for artists, athletes, entertainers and other public figures"	2350	2350	2463	2488	2338	2275	2275	2300	2100	2356	
Canada	Not Creative	Agricultural supplies merchant wholesalers	13583	14017	14717	15292	15725	15783	16000	16250	16192	16000	
Canada	Not Creative	"Agricultural, construction and mining machinery manufacturing"	31342	31033	31200	30917	30542	30917	31250	31267	31400	31625	
Canada	Not Creative	Alumina and aluminum production and processing	18150	17967	18200	18350	18492	18483	18200	18100	17900	17767	
Canada	Not Creative	Amusement parks and arcades	4809	4636	4700	4682	4791	5064	5518	5955	5691	5645	
Canada	Not Creative	Animal food manufacturing	9150	9517	9825	10108	10333	10608	10850	10700	10725	10908	
Canada	Not Creative	Aquaculture	4208	4458	4583	4692	4808	4875	4942	4833	4850	4783	
Canada	Not Creative	Architectural and structural metals manufacturing	48000	46642	45642	44808	43567	42692	42075	42408	42858	43425	
Canada	Not Creative	Audio and video equipment manufacturing	2857	2863	2850	2889	2950	2909	2982	2882	2930	2810	
Canada	Not Creative	Automobile dealers	152875	152275	151475	151475	150717	148892	146875	145283	143658	142792	
Canada	Not Creative	Automotive equipment rental and leasing	19400	20642	20892	21675	21992	21692	21458	21142	20625	19575	
Canada	Not Creative	"Automotive parts, accessories and tire stores"	38233	38108	37708	36533	35850	36100	36308	36783	37325	37117	
Canada	Not Creative	Automotive repair and maintenance	154992	156125	156442	157183	156283	155992	155117	153908	153275	152442	
Canada	Not Creative	Bakeries and tortilla manufacturing	49083	49767	50983	51642	52300	52792	52550	51692	50967	50217	
Canada	Not Creative	Basic chemical manufacturing	14733	14575	14325	14358	14492	14558	14675	14733	14900	15092	
Canada	Not Creative	"Beer, wine and liquor stores"	38358	37400	36592	36633	36492	36458	36533	36067	35892	35800	
Canada	Not Creative	Beverage manufacturing	26683	27700	28942	30100	31242	32233	32800	33392	33558	32725	
Canada	Not Creative	Beverage merchant wholesalers	13008	12875	13117	12850	13017	13200	12975	12842	12833	12783	
Canada	Not Creative	"Boiler, tank and shipping container manufacturing"	11475	11858	11967	11925	11558	11367	11367	11383	11467	11425	
Canada	Not Creative	Book stores and news dealers	21042	21658	21767	21842	21458	20650	20058	19033	18467	17892	
Canada	Not Creative	Building equipment contractors	311033	313392	314817	317192	317983	318842	318300	318608	318583	318367	
Canada	Not Creative	Building finishing contractors	178483	177167	177867	178692	179117	178525	178575	179667	180883	181450	
Canada	Not Creative	Building material and supplies dealers	134733	135108	135625	134808	133892	133300	132817	133083	132767	132892	
Canada	Not Creative	Business schools and computer and management training	4825	5142	5033	5375	5508	5817	6025	6292	5958	5708	
Canada	Not Creative	Business support services	99042	98583	98383	98642	98892	100183	100792	100492	99633	98775	
Canada	Not Creative	"Business, professional, labour and other membership organizations"	49967	48892	47708	47300	46942	47458	47450	47433	47300	48150	
Canada	Not Creative	"Business-to-business electronic markets, and agents and brokers"	2450	1600									
Canada	Not Creative	Cattle ranching and farming	87783	88692	89783	90383	90708	90917	91433	91325	91158	92008	
Canada	Not Creative	Cement and concrete product manufacturing	24483	24625	25675	26417	26792	26975	27175	27342	27800	28508	
Canada	Not Creative	Charter bus industry	4108	4017	3950	4100	4067	4050	4217	4283	4225	4067	
Canada	Not Creative	Chemical (except agricultural) and allied product merchant wholesalers	10742	10800	10775	10442	10283	10533	10750	10942	11042	11117	
Canada	Not Creative	Child day-care services	227467	227117	227958	227667	227792	228933	230000	231050	232500	233150	
Canada	Not Creative	Cigarette and tobacco product merchant wholesalers	2300			1600	1600	1600	1600	1700	1700	1700	
Canada	Not Creative	Civic and social organizations	34333	34267	34250	34317	34383	34292	34450	33875	33608	33383	
Canada	Not Creative	Clay product and refractory manufacturing	2650	2592	2617	2733	2792	2850	2942	2875	2925	2973	
Canada	Not Creative	Clothing accessories and other clothing manufacturing	2050	1925	1925	1925	1925	1925	1920	1840	1725	1725	
Canada	Not Creative	Clothing knitting mills	3900	3750	3300	3113	2963	2913	2650	2700	2622	2620	
Canada	Not Creative	Clothing stores	165508	165608	164633	163542	162050	160525	158992	157633	156767	156850	
Canada	Not Creative	Coal mining	9792	10025	10267	10108	10267	10275	10433	10725	11000	10850	
Canada	Not Creative	"Coating, engraving, cold and heat treating and allied activities"	9883	9750	9725	10042	9933	9733	9933	10117	10350	10208	
Canada	Not Creative	Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance	54333	55125	56308	58225	60025	61700	63367	64808	67033	68333	
Canada	Not Creative	Commercial and industrial machinery and equipment rental and leasing	20167	20508	20867	21000	20875	21042	21650	22433	23200	23325	
Canada	Not Creative	Commercial and service industry machinery manufacturing	9608	9867	10150	10525	10808	11108	11533	12017	12425	12617	
Canada	Not Creative	Communications equipment manufacturing	30483	30417	30725	29900	29525	29258	28867	28325	27692	26933	
Canada	Not Creative	Community colleges and C.E.G.E.P.s	99417	98833	98500	98450	99050	99567	99925	100967	102200	103142	
Canada	Not Creative	"Community food and housing, and emergency and other relief services"	8800	8783	8575	8950	9050	9242	9200	9417	9483	9742	
Canada	Not Creative	Computer and communications equipment and supplies merchant wholesalers	35242	34917	34667	33958	33150	32583	32167	32467	33467	34900	
Canada	Not Creative	Computer and peripheral equipment manufacturing	18667	17633	16650	15683	14825	14158	13100	12217	11808	11375	
Canada	Not Creative	"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers"	59033	59658	60083	60308	60950	61708	63000	63975	64775	65233	
Canada	Not Creative	Consumer goods rental	22842	22275	21567	21308	21658	22133	22250	22192	21450	20608	
Canada	Not Creative	Converted paper product manufacturing	27092	27992	28475	28575	28300	28500	28158	26950	26008	25992	
Canada	Not Creative	Couriers	50708	50667	51433	51992	51983	52083	52333	51383	50192	50475	
Canada	Not Creative	Cut and sew clothing manufacturing	34733	35067	35233	36042	35917	36058	35300	34542	34058	33400	
