"pnaics_id","naics6","naics5","naics4","naics3","naics2","creative_sector","main_industry"
"G111000","111000","111000","111000","111000","110000","Not Creative","Agriculture,Forestry"
"G112500","112500","112500","112500","112000","110000","Not Creative","Agriculture,Forestry"
"G112A00","112A00","112A00","112A00","112000","110000","Not Creative","Agriculture,Forestry"
"G113000","113000","113000","113000","113000","110000","Not Creative","Agriculture,Forestry"
"G114000","114000","114000","114000","114000","110000","Not Creative","Agriculture,Forestry"
"G115300","115300","115300","115300","115000","110000","Not Creative","Agriculture,Forestry"
"G115A00","115A00","115A00","115A00","115000","110000","Not Creative","Agriculture,Forestry"
"G211000","211000","211000","211000","211000","210000","Not Creative","Mining, quarrying, and oil and gas extraction"
"G212100","212100","212100","212100","212000","210000","Not Creative","Mining, quarrying, and oil and gas extraction"
"G212200","212200","212200","212200","212000","210000","Not Creative","Mining, quarrying, and oil and gas extraction"
"G212300","212300","212300","212300","212000","210000","Not Creative","Mining, quarrying, and oil and gas extraction"
"G213000","213000","213000","213000","213000","210000","Not Creative","Mining, quarrying, and oil and gas extraction"
"G221100","221100","221100","221100","221000","220000","Not Creative","Utilities"
"G221200","221200","221200","221200","221000","220000","Not Creative","Utilities"
"G221300","221300","221300","221300","221000","220000","Not Creative","Utilities"
"G23A000","23A000","23A000","23A000","23A000","230000","Not Creative","Construction"
"G23B000","23B000","23B000","23B000","23B000","230000","Not Creative","Construction"
"G23C100","23C100","23C100","23C100","23C000","230000","Not Creative","Construction"
"G23C200","23C200","23C200","23C200","23C000","230000","Not Creative","Construction"
"G23C300","23C300","23C300","23C300","23C000","230000","Not Creative","Construction"
"G23C400","23C400","23C400","23C400","23C000","230000","Not Creative","Construction"
"G23C500","23C500","23C500","23C500","23C000","230000","Not Creative","Construction"
"G23D000","23D000","23D000","23D000","23D000","230000","Not Creative","Construction"
"G23E000","23E000","23E000","23E000","23E000","230000","Not Creative","Construction"
"G311100","311100","311100","311100","311000","310000","Not Creative","Manufacturing"
"G311200","311200","311200","311200","311000","310000","Not Creative","Manufacturing"
"G311300","311300","311300","311300","311000","310000","Not Creative","Manufacturing"
"G311400","311400","311400","311400","311000","310000","Not Creative","Manufacturing"
"G311500","311500","311500","311500","311000","310000","Not Creative","Manufacturing"
"G311600","311600","311600","311600","311000","310000","Not Creative","Manufacturing"
"G311700","311700","311700","311700","311000","310000","Not Creative","Manufacturing"
"G311800","311800","311800","311800","311000","310000","Not Creative","Manufacturing"
"G311900","311900","311900","311900","311000","310000","Not Creative","Manufacturing"
"G312110","312110","312110","312100","312000","310000","Not Creative","Manufacturing"
"G312120","312120","312120","312100","312000","310000","Not Creative","Manufacturing"
"G3121A0","3121A0","3121A0","312100","312000","310000","Not Creative","Manufacturing"
"G312200","312200","312200","312200","312000","310000","Not Creative","Manufacturing"
"G31A000","31A000","31A000","31A000","31A000","310000","Not Creative","Manufacturing"
"G31B000","31B000","31B000","31B000","31B000","310000","Not Creative","Manufacturing"
"G321100","321100","321100","321100","321000","320000","Not Creative","Wood Product Manufacturing"
"G321200","321200","321200","321200","321000","320000","Not Creative","Wood Product Manufacturing"
"G321900","321900","321900","321900","321000","320000","Not Creative","Wood Product Manufacturing"
"G322100","322100","322100","322100","322000","320000","Not Creative","Wood Product Manufacturing"
"G322200","322200","322200","322200","322000","320000","Not Creative","Wood Product Manufacturing"
"G323000","323000","323000","323000","323000","320000","Not Creative","Wood Product Manufacturing"
"G324110","324110","324110","324100","324000","320000","Not Creative","Wood Product Manufacturing"
"G3241A0","3241A0","3241A0","324100","324000","320000","Not Creative","Wood Product Manufacturing"
"G325100","325100","325100","325100","325000","320000","Not Creative","Wood Product Manufacturing"
"G325200","325200","325200","325200","325000","320000","Not Creative","Wood Product Manufacturing"
"G325300","325300","325300","325300","325000","320000","Not Creative","Wood Product Manufacturing"
"G325400","325400","325400","325400","325000","320000","Not Creative","Wood Product Manufacturing"
"G325500","325500","325500","325500","325000","320000","Not Creative","Wood Product Manufacturing"
"G325600","325600","325600","325600","325000","320000","Not Creative","Wood Product Manufacturing"
"G325900","325900","325900","325900","325000","320000","Not Creative","Wood Product Manufacturing"
"G326100","326100","326100","326100","326000","320000","Not Creative","Wood Product Manufacturing"
"G326200","326200","326200","326200","326000","320000","Not Creative","Wood Product Manufacturing"
"G327300","327300","327300","327300","327000","320000","Not Creative","Wood Product Manufacturing"
"G327900","327900","327900","327900","327000","320000","Crafts","Wood Product Manufacturing"
"G327D00","327D00","327D00","327D00","327000","320000","Not Creative","Wood Product Manufacturing"
"G331100","331100","331100","331100","331000","330000","Not Creative","Primary metal manufacturing"
"G331200","331200","331200","331200","331000","330000","Not Creative","Primary metal manufacturing"
"G331300","331300","331300","331300","331000","330000","Not Creative","Primary metal manufacturing"
